Date,Close,High,Low,Open,Volume,MFI
2025-05-19,376.33746337890625,388.4773815524194,365.1687386592742,368.08231902091734,714733,
2025-05-20,375.36627197265625,383.62141637567714,368.0823210288143,378.7654490797825,325382,
2025-05-21,370.0246887207031,375.3662524686398,367.59670519891375,375.3662524686398,180125,
2025-05-22,372.9382934570313,373.4238901933034,363.2263587315877,370.0247130393982,129645,
2025-05-23,372.9382934570313,374.3950836658478,369.0535195668538,373.4238901933034,211859,
2025-05-26,370.0246887207031,372.9382689468504,366.62551179019795,372.9382689468504,167671,
2025-05-27,370.9958801269531,370.9958801269531,359.3415592852688,369.0534933200057,298094,
2025-05-28,378.7654418945313,385.5637959798177,357.39918619791666,364.1975402832031,2813448,
2025-05-29,385.5637817382813,396.732505894428,372.9382674748111,382.1646048211931,2200647,
2025-06-02,377.7942504882813,379.2510406572592,361.76955862952383,376.82305704229594,909784,
2025-06-03,380.22222900390625,383.6214060192668,375.8518585555855,379.7366322874262,754737,
2025-06-04,404.0164794921875,405.4732696826641,383.1358200953557,383.1358200953557,1549182,
2025-06-05,403.0452880859375,412.7572227386107,396.73253056169995,404.0164815512048,944056,
2025-06-06,443.3497924804687,443.3497924804687,402.5596691854421,403.0452658913353,2561401,
2025-06-09,459.3744812011719,475.8847691090364,439.9506130742724,442.8641932933073,2249874,87.8259779181015
2025-06-10,453.5473327636719,462.773670368072,442.8642050112085,459.37449335592464,1350055,81.34446010500726
2025-06-11,471.02880859375,471.02880859375,450.63374677835054,455.4897138772552,1295472,83.66858658660996
2025-06-12,460.3456726074219,471.99999343292626,454.5185121946697,471.99999343292626,1129674,78.4748890680882
2025-06-13,430.2386779785156,456.4608998869128,427.3250977664715,456.4608998869128,1717607,71.16968117367783
2025-06-16,422.4691467285156,432.6666778564453,413.2428090413411,418.5843729654948,918930,68.48037569444095
2025-06-17,413.2427978515625,439.95061674913705,413.2427978515625,424.8971188250496,1029490,65.9967819073811
